Severity_Score,PLVAP,ESM1,CD93,COL4A1,COL4A2,HSPG2,PXDN,MKI67,TOP2A,VEGFA,ANGPT2,CLDN5,MFSD2A,SLC2A1,ABCG2,BSG,CD320,SLC38A5,CDH5,VWF,CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,SOX17,ETS1,LEF1,TCF7,MYC
0.1919192,3.339797840632475,-0.09184707295637518,3.7668773986608493,3.9087459460641782,3.8874916067536227,3.2484505093925944,2.291876818862717,1.069643935143574,1.0274669054418095,0.8653653274000949,0.007534441246143331,6.694776208524144,-0.7144269459876096,-0.38747367949365596,-1.3260069909513788,4.87421719625444,3.3525508450442314,-0.5821444599522709,2.685343150424962,5.778580885005847,5.240567042597804,6.672187254630977,5.291097673339574,4.098265145122876,1.0352592307114445,2.57451172278593,0.014898521305553025,0.2945748131165351,1.8807160001688765
0.2020202,3.4166421062343897,-0.07176855673504434,3.7710534139756464,3.9573215505281576,3.8534563571896667,3.2554504570148888,2.367647701669212,1.144033626195384,1.1295402832824035,0.9366227024286031,0.017141121459335995,6.553935649944079,-0.7634018604068302,-0.37763282906365436,-1.4056425278122773,4.731456421349329,3.3049721263744027,-0.6310222787579289,2.6205420118517893,5.646143533044249,5.320647608750882,6.6545225819587035,5.330341451323052,4.088331763501844,0.982998525069323,2.5122497393338175,0.03343386404126525,0.3100910576158995,1.9774107502710638
0.21212122,3.3996869291435194,0.009330278304554351,3.783572154744924,3.9733279238556807,3.816166241352749,3.2613710509318468,2.399705522157366,1.1435778240243237,1.178782484194207,0.9550924575087454,0.1764252494713543,6.492487050043511,-0.5628984215397006,-0.05845370858213261,-1.1217343065288916,4.678399773871401,3.396669393653567,-0.4095718035072262,2.6261184474114083,5.51078854961,5.438278324181209,6.586268434821187,5.384882391591148,4.11547252036337,1.0857135442474428,2.529564716512888,0.20720438242228978,0.3507369028905071,2.1003730658893676
0.22222222,3.3827317520526488,0.09042898559384338,3.796090895514201,3.9893342245540624,3.7788762851150404,3.267291572135674,2.4317632772111146,1.1431220411898564,1.228024611555739,0.9735621815729206,0.3357090645418066,6.431038450142943,-0.3623953589829507,0.2607250233322862,-0.8378260852455068,4.625343258524077,3.4883664155393004,-0.18812171103254682,2.6316950229980343,5.3754338584247625,5.555908861185343,6.51801435068426,5.439423226476964,4.142613277224895,1.1884283120839587,2.5468796936919587,0.38097465187980006,0.39138267138357197,2.223335149059568
0.23232323,3.3657766176940362,0.1715275651328223,3.808609636283478,4.0053405252524446,3.741586249077727,3.273212166052632,2.4638210322648626,1.142666239018796,1.277266744574984,0.992031900467768,0.4949931925538249,6.369589850242376,-0.16189229642620084,0.5799037552467059,-0.5539182484631051,4.572286743176752,3.580063437425034,0.03332838144213257,2.637271458557653,5.240079094177272,5.673539398189477,6.449760266547334,5.493964077575438,4.16975397004182,1.2911432055912762,2.5641946708710295,0.5547449213373103,0.43202843987663686,2.3462972322297677
0.24242425,3.3488214406031656,0.2526265279227311,3.8211284439964612,4.021346898579967,3.704296133240809,3.27913275996959,2.495878852753017,1.1422104561843287,1.3265089568022137,1.0105016503785824,0.6542773205658436,6.30814112410281,0.038611142440929225,0.8990832642953297,-0.2700096426787355,4.519230095698823,3.671760704704198,0.2547788566928353,2.6428480341442793,5.104724183805275,5.7911701136198035,6.381506056409226,5.5485050016308755,4.196894726903346,1.393858099098594,2.581509763329575,0.7285154397183349,0.47267420836970175,2.4692595478480714
0.25252524,3.331866306244553,0.33372497971140014,3.8336471847657387,4.037353199278349,3.6670061770031004,3.285053281173418,2.527936575089562,1.1417546540132684,1.3757510219289006,1.0289713485961185,0.8135609791655121,6.246692650441241,0.2391142049976791,1.2182616076426465,0.013897809602681832,4.4661735803515,3.7634577265899316,0.4762285663914909,2.648424469703898,4.969369492620038,5.908800472197744,6.31325209827348,5.603045763559727,4.22403535567567,1.49657286693511,2.598824740508646,0.9022855847140878,0.5133199000812239,2.5922215147942196
0.26262626,3.3149110864214246,0.41482381475099905,3.846165925535016,4.053359572605872,3.6297160611661825,3.290973875090376,2.5599943628605133,1.141298871178801,1.4249932228407038,1.047441098506933,0.9728452636483138,6.185243924301675,0.4396174557096191,1.5374409224077192,0.2978064153870519,4.413116932873571,3.85515487117238,0.6976790416421936,2.6540010452905243,4.834014655310294,6.02643122331331,6.2449979511359635,5.657586703827824,4.2511761125371965,1.5992878861132294,2.6161397176877164,1.0760562275568697,0.5539657453558314,2.7151838304125238
0.27272728,3.297955952062812,0.49592264979059797,3.8586846663042933,4.069365945933396,3.5924260251288693,3.2968944690073334,2.5920521833486676,1.1408430690077407,1.4742354011216543,1.0659108380790918,1.1321293916603326,6.123795324401107,0.6401207064215595,1.8566202371727916,0.5817150211714215,4.360060285395643,3.9468520157548292,0.9191295168928968,2.6595774808501425,4.69865981800055,6.144061831687921,6.176743803998446,5.712127611670603,4.278316869398722,1.7020027796205472,2.6334546948667867,1.249826621476137,0.5946115138488963,2.8381460298067753
0.28282827,3.281000817704199,0.5770212293295769,3.8712034070735704,4.085372246631778,3.555135989091556,3.302814990211161,2.62410987296801,1.1403872861732733,1.5234774436174885,1.0843805362966277,1.2914128937892175,6.062346724500539,0.8406235808231193,2.1757985805201088,0.8656222812023464,4.307003902178922,4.038549037640563,1.140579226591552,2.6651539164097615,4.563305272939818,6.2616922259511,6.108489845862701,5.766668389812113,4.305457530193347,1.8047174217862612,2.6507696720458576,1.4235966420101327,0.6352572055604184,2.9611079386408976
0.2929293,3.264045597881071,0.6581200643691756,3.8837222147865536,4.1013786199593,3.517845953054243,3.308735584128119,2.6561676934561644,1.139931484002213,1.572719644529292,1.1028502862074423,1.4506971782720195,6.000898124599972,1.0411270196902493,2.4949778952851815,1.1495308869867165,4.253947254700994,4.130246304919726,1.3620297018422551,2.6707304919963875,4.427950289505569,6.379322977066666,6.040235635724593,5.82120933008021,4.332598287054872,1.9074324409643808,2.6680847645044032,1.5973672848529146,0.6759030124442547,3.0840703123712276
